id,sigla,Dipartimento,nome,link_generale,link_direttore,link_descrizione,link_ricerca,link_pubblicazioni,link_servizi,link_competenze,link_collaborazioni,link_formazione,link_biblioteche,link_banchedati,link_focus,link_focus_ITA,links_logo,nome_istituto,url,links_webist,links_mailist,links_pres_ist,indirizzo,web_site,direttore,mail,latitude,longitude
11,IBBA ,Scienze bio-agroalimentari,Istituto di biologia e biotecnologia agraria ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=012,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=012,http://www.cnr.it/istituti/Descrizione_eng.html?cds=012,http://www.cnr.it/istituti/Ricerca_eng.html?cds=012,Pubblicazioni_eng.html?cds=012,http://www.cnr.it/istituti/Servizi_eng.html?cds=012,http://www.cnr.it/istituti/Competenze_eng.html?cds=012,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=012,http://www.cnr.it/istituti/Formazione_eng.html?cds=012,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=012,http://www.cnr.it/istituti/Banchedati_eng.html?cds=012,http://www.cnr.it/istituti/Focus_eng.html?cds=012,http://www.cnr.it/istituti/Focus.html?cds=012,NA,Istituto di biologia e biotecnologia agraria,http://www.cnr.it/istituti/DatiGenerali.html?cds=012,http://www.ibba.cnr.it,mailto:direttore@ibba.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000ff5923004e5abe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Edoardo Bassini, 15 - 20133 Milano MI Lombardia",http://www.ibba.cnr.it,Dott ALDO CERIOTTI,direttore@ibba.cnr.it,45.4796955,9.2322096
12,IBIM ,Scienze Biomediche,"Istituto di biomedicina e di immunologia molecolare ""Alberto Monroy"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=014,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=014,http://www.cnr.it/istituti/Descrizione_eng.html?cds=014,http://www.cnr.it/istituti/Ricerca_eng.html?cds=014,Pubblicazioni_eng.html?cds=014,http://www.cnr.it/istituti/Servizi_eng.html?cds=014,http://www.cnr.it/istituti/Competenze_eng.html?cds=014,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=014,http://www.cnr.it/istituti/Formazione_eng.html?cds=014,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=014,http://www.cnr.it/istituti/Banchedati_eng.html?cds=014,http://www.cnr.it/istituti/Focus_eng.html?cds=014,http://www.cnr.it/istituti/Focus.html?cds=014,NA,"Istituto di biomedicina e di immunologia molecolare ""Alberto Monroy""",http://www.cnr.it/istituti/DatiGenerali.html?cds=014,http://www.ibim.cnr.it,mailto:viegi@ibim.cnr.it,NA,"Via Ugo La Malfa, 153 - 90146 Palermo PA Sicilia",http://www.ibim.cnr.it,Dr. GIOVANNI VIEGI    ,viegi@ibim.cnr.it,38.1650913,13.3096683
13,IBBE ,Scienze Biomediche,Istituto di biomembrane e bioenergetica ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=015,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=015,http://www.cnr.it/istituti/Descrizione_eng.html?cds=015,http://www.cnr.it/istituti/Ricerca_eng.html?cds=015,Pubblicazioni_eng.html?cds=015,http://www.cnr.it/istituti/Servizi_eng.html?cds=015,http://www.cnr.it/istituti/Competenze_eng.html?cds=015,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=015,http://www.cnr.it/istituti/Formazione_eng.html?cds=015,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=015,http://www.cnr.it/istituti/Banchedati_eng.html?cds=015,http://www.cnr.it/istituti/Focus_eng.html?cds=015,http://www.cnr.it/istituti/Focus.html?cds=015,NA,Istituto di biomembrane e bioenergetica,http://www.cnr.it/istituti/DatiGenerali.html?cds=015,http://www.ibbe.cnr.it,mailto:g.pesole@ibbe.cnr.it,NA,Via Giovanni Amendola 165/A - 70126 Bari BA Puglia,http://www.ibbe.cnr.it,Prof GRAZIANO PESOLE    ,g.pesole@ibbe.cnr.it,41.1103292,16.8835397
14,IBIMET ,Scienze bio-agroalimentari,Istituto di biometeorologia ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=016,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=016,http://www.cnr.it/istituti/Descrizione_eng.html?cds=016,http://www.cnr.it/istituti/Ricerca_eng.html?cds=016,Pubblicazioni_eng.html?cds=016,http://www.cnr.it/istituti/Servizi_eng.html?cds=016,http://www.cnr.it/istituti/Competenze_eng.html?cds=016,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=016,http://www.cnr.it/istituti/Formazione_eng.html?cds=016,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=016,http://www.cnr.it/istituti/Banchedati_eng.html?cds=016,http://www.cnr.it/istituti/Focus_eng.html?cds=016,http://www.cnr.it/istituti/Focus.html?cds=016,http://www.cnr.it/istituti/./logo_ibimet.jpg?LO=01000000d9c8b7a6080000000800000008e620007fe6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di biometeorologia,http://www.cnr.it/istituti/DatiGenerali.html?cds=016,http://www.ibimet.cnr.it,mailto:direttore@ibimet.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000ff5a23004e5bbe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Giovanni Caproni, 8 - 50145 Firenze FI Toscana",http://www.ibimet.cnr.it,Dott ANTONIO RASCHI    ,direttore@ibimet.cnr.it,43.7978229,11.190968
15,IBBR ,Scienze bio-agroalimentari,Istituto di Bioscienze e Biorisorse ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=041,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=041,http://www.cnr.it/istituti/Descrizione_eng.html?cds=041,http://www.cnr.it/istituti/Ricerca_eng.html?cds=041,Pubblicazioni_eng.html?cds=041,http://www.cnr.it/istituti/Servizi_eng.html?cds=041,http://www.cnr.it/istituti/Competenze_eng.html?cds=041,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=041,http://www.cnr.it/istituti/Formazione_eng.html?cds=041,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=041,http://www.cnr.it/istituti/Banchedati_eng.html?cds=041,http://www.cnr.it/istituti/Focus_eng.html?cds=041,http://www.cnr.it/istituti/Focus.html?cds=041,NA,Istituto di Bioscienze e Biorisorse,http://www.cnr.it/istituti/DatiGenerali.html?cds=041,http://ibbr.cnr.it/ibbr/,mailto:direttore@ibbr.cnr.it,NA,"Via Giovanni Amendola, 165/A - 70126 Bari BA Puglia",http://ibbr.cnr.it/ibbr/,Dr. GIOVANNI GIUSEPPE VENDRAMIN    ,direttore@ibbr.cnr.it,41.1103292,16.8835397
16,IBB ,Scienze Biomediche,Istituto di biostrutture e bioimmagini ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=017,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=017,http://www.cnr.it/istituti/Descrizione_eng.html?cds=017,http://www.cnr.it/istituti/Ricerca_eng.html?cds=017,Pubblicazioni_eng.html?cds=017,http://www.cnr.it/istituti/Servizi_eng.html?cds=017,http://www.cnr.it/istituti/Competenze_eng.html?cds=017,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=017,http://www.cnr.it/istituti/Formazione_eng.html?cds=017,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=017,http://www.cnr.it/istituti/Banchedati_eng.html?cds=017,http://www.cnr.it/istituti/Focus_eng.html?cds=017,http://www.cnr.it/istituti/Focus.html?cds=017,NA,Istituto di biostrutture e bioimmagini,http://www.cnr.it/istituti/DatiGenerali.html?cds=017,http://www.ibb.cnr.it,mailto:direttore@ibb.cnr.it,NA,"Via Tommaso De Amicis, 95 - 80145 Napoli NA Campania",http://www.ibb.cnr.it,Dr. MARCELLO MANCINI    ,direttore@ibb.cnr.it,40.8685151,14.2228196
17,ICAR ,"Ingegneria, ICT e tecnologie per l'energia e i trasporti",Istituto di calcolo e reti ad alte prestazioni ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=018,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=018,http://www.cnr.it/istituti/Descrizione_eng.html?cds=018,http://www.cnr.it/istituti/Ricerca_eng.html?cds=018,Pubblicazioni_eng.html?cds=018,http://www.cnr.it/istituti/Servizi_eng.html?cds=018,http://www.cnr.it/istituti/Competenze_eng.html?cds=018,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=018,http://www.cnr.it/istituti/Formazione_eng.html?cds=018,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=018,http://www.cnr.it/istituti/Banchedati_eng.html?cds=018,http://www.cnr.it/istituti/Focus_eng.html?cds=018,http://www.cnr.it/istituti/Focus.html?cds=018,http://www.cnr.it/istituti/./logo_ICAR per RITA.jpg?LO=01000000d9c8b7a6080000000800000048c42e005c82f953000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di calcolo e reti ad alte prestazioni,http://www.cnr.it/istituti/DatiGenerali.html?cds=018,http://www.icar.cnr.it,mailto:cosenza@icar.cnr.it,NA,Via Pietro Bucci - Cubo 41C - 87030 Rende CS Calabria,http://www.icar.cnr.it,Ing. GIUSEPPE DE PIETRO    ,cosenza@icar.cnr.it,39.3317751,16.1839028
18,ICB ,Scienze chimiche e tecnologie dei materiali,Istituto di chimica biomolecolare ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=019,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=019,http://www.cnr.it/istituti/Descrizione_eng.html?cds=019,http://www.cnr.it/istituti/Ricerca_eng.html?cds=019,Pubblicazioni_eng.html?cds=019,http://www.cnr.it/istituti/Servizi_eng.html?cds=019,http://www.cnr.it/istituti/Competenze_eng.html?cds=019,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=019,http://www.cnr.it/istituti/Formazione_eng.html?cds=019,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=019,http://www.cnr.it/istituti/Banchedati_eng.html?cds=019,http://www.cnr.it/istituti/Focus_eng.html?cds=019,http://www.cnr.it/istituti/Focus.html?cds=019,http://www.cnr.it/istituti/./logo.jpeg?LO=01000000d9c8b7a60800000008000000ffe5200076e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di chimica biomolecolare,http://www.cnr.it/istituti/DatiGenerali.html?cds=019,http://www.icb.cnr.it,mailto:direzione@icb.cnr.it,NA,"Via Campi Flegrei, 34 - 80078 Pozzuoli NA Campania",http://www.icb.cnr.it,Dr. VINCENZO DI MARZO    ,direzione@icb.cnr.it,40.8350324,14.1067305
19,ICCOM ,Scienze chimiche e tecnologie dei materiali,Istituto di chimica dei composti organo metallici ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=020,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=020,http://www.cnr.it/istituti/Descrizione_eng.html?cds=020,http://www.cnr.it/istituti/Ricerca_eng.html?cds=020,Pubblicazioni_eng.html?cds=020,http://www.cnr.it/istituti/Servizi_eng.html?cds=020,http://www.cnr.it/istituti/Competenze_eng.html?cds=020,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=020,http://www.cnr.it/istituti/Formazione_eng.html?cds=020,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=020,http://www.cnr.it/istituti/Banchedati_eng.html?cds=020,http://www.cnr.it/istituti/Focus_eng.html?cds=020,http://www.cnr.it/istituti/Focus.html?cds=020,http://www.cnr.it/istituti/./logo_iccom_4_150px copia.png?LO=01000000d9c8b7a6080000000800000018152e0097c4f853000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di chimica dei composti organo metallici,http://www.cnr.it/istituti/DatiGenerali.html?cds=020,http://www.iccom.cnr.it/,mailto:maurizio.peruzzini@iccom.cnr.it,NA,Via Madonna del Piano 10 - 50019 Sesto Fiorentino FI Toscana,http://www.iccom.cnr.it/,Dr. MAURIZIO PERUZZINI    ,maurizio.peruzzini@iccom.cnr.it,43.8178456,11.2003812
20,ICRM ,Scienze chimiche e tecnologie dei materiali,Istituto di chimica del riconoscimento molecolare ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=021,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=021,http://www.cnr.it/istituti/Descrizione_eng.html?cds=021,http://www.cnr.it/istituti/Ricerca_eng.html?cds=021,Pubblicazioni_eng.html?cds=021,http://www.cnr.it/istituti/Servizi_eng.html?cds=021,http://www.cnr.it/istituti/Competenze_eng.html?cds=021,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=021,http://www.cnr.it/istituti/Formazione_eng.html?cds=021,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=021,http://www.cnr.it/istituti/Banchedati_eng.html?cds=021,http://www.cnr.it/istituti/Focus_eng.html?cds=021,http://www.cnr.it/istituti/Focus.html?cds=021,NA,Istituto di chimica del riconoscimento molecolare,http://www.cnr.it/istituti/DatiGenerali.html?cds=021,http://www.icrm.cnr.it,mailto:sergio.riva@icrm.cnr.it,NA,"Via Mario Bianco, 9 - 20131 Milano MI Lombardia",http://www.icrm.cnr.it,Dott SERGIO RIVA    -,sergio.riva@icrm.cnr.it,45.4880094,9.2287597
